mass,intensity,assign,C,O,H,N,numbers,O/C,H/C,volume,color
169.58235,582756,False,,,,,1,,,0.455211799218317,blue
169.60364,646355,False,,,,,1,,,0.5048912795127898,blue
169.62713,607846,False,,,,,1,,,0.4748105061254747,blue
169.62986,765518,False,,,,,1,,,0.5979738108470914,blue
169.66105,651223,False,,,,,1,,,0.5086938504663188,blue
169.67972,660135,False,,,,,1,,,0.5156553361560992,blue
169.68258,740927,False,,,,,1,,,0.5787648908967561,blue
169.68683,608655,False,,,,,1,,,0.47544244529996216,blue
169.71866,566738,False,,,,,1,,,0.44269955979070236,blue
169.7355,567725,False,,,,,1,,,0.4434705412063008,blue
169.74152,596687,False,,,,,1,,,0.46609380742571493,blue
169.75162,576559,False,,,,,1,,,0.45037109827357186,blue
169.75702,620297,False,,,,,1,,,0.48453643277756797,blue
169.79973,587614,False,,,,,1,,,0.45900655880998587,blue
169.80556,567370,False,,,,,1,,,0.4431932378602649,blue
169.80829,611476,False,,,,,1,,,0.47764603048071513,blue
169.81428,571159,False,,,,,1,,,0.44615296286908196,blue
169.81757,572865,False,,,,,1,,,0.4474855812024264,blue
169.82122,570581,False,,,,,1,,,0.4457014661535643,blue
169.83162,589481,False,,,,,1,,,0.46046494006927896,blue
169.85305,607298,False,,,,,1,,,0.47438244349553754,blue
169.86545,598662,False,,,,,1,,,0.4676365513930978,blue
169.86611,601267,False,,,,,1,,,0.4696714111576712,blue
169.8763,587530,False,,,,,1,,,0.4589409433703605,blue
169.93687,599698,False,,,,,1,,,0.46844580848181105,blue
169.95293,583144,False,,,,,1,,,0.4555148800584915,blue
169.95518,677578,False,,,,,1,,,0.5292806946487875,blue
169.96341,572890,False,,,,,1,,,0.4475051096070768,blue
170.09607,595088,False,,,,,1,,,0.4648447706642743,blue
170.12228,643292,False,,,,,1,,,0.5024986593750207,blue
170.1322,581956,False,,,,,1,,,0.4545868902695037,blue
170.15342,609797,False,,,,,1,,,0.47633450282439316,blue
170.1648,581507,False,,,,,1,,,0.4542361601219822,blue
170.18046,591232,False,,,,,1,,,0.4618327095309941,blue
170.2077,650810,False,,,,,1,,,0.5083712412214939,blue
170.21547,625332,False,,,,,1,,,0.48846945347416176,blue
170.22432,625148,False,,,,,1,,,0.4883257244159347,blue
170.26064,623001,False,,,,,1,,,0.48664862502455697,blue
170.26337,568399,False,,,,,1,,,0.443997026995676,blue
170.26375,592853,False,,,,,1,,,0.4630989312885271,blue
170.27489,625260,False,,,,,1,,,0.48841321166876855,blue
170.31376,578212,False,,,,,1,,,0.45166231638905735,blue
170.32257,631949,False,,,,,1,,,0.4936382316170339,blue
170.33256,644187,False,,,,,1,,,0.5031977762615056,blue
170.33335,583069,False,,,,,1,,,0.45545629484454025,blue
170.35132,687393,False,,,,,1,,,0.5369475463145409,blue
170.36137,607084,False,,,,,1,,,0.47421528035173,blue
170.39571,606598,False,,,,,1,,,0.4738356481653259,blue
170.43471,574541,False,,,,,1,,,0.44879476545019026,blue
170.46788,576384,False,,,,,1,,,0.45023439944101895,blue
170.48968,565866,False,,,,,1,,,0.44201840903649586,blue
170.49819,574786,False,,,,,1,,,0.44898614381576435,blue
170.49981,643584,False,,,,,1,,,0.5027267511413376,blue
170.50864,616543,False,,,,,1,,,0.4816040475352615,blue
170.54561,589865,False,,,,,1,,,0.46076489636470935,blue
170.60586,600088,False,,,,,1,,,0.4687504515943575,blue
170.60673,568309,False,,,,,1,,,0.4439267247389345,blue
170.61304,574291,False,,,,,1,,,0.4485994814036861,blue
170.64393,635139,False,,,,,1,,,0.49613005605042704,blue
170.69888,736486,False,,,,,1,,,0.5752958650946561,blue
170.72489,640311,False,,,,,1,,,0.5001700924045052,blue
170.73891,573139,False,,,,,1,,,0.44769961251739493,blue
170.74147,615871,False,,,,,1,,,0.48107912401825825,blue
170.76105,622683,False,,,,,1,,,0.48640022371740366,blue
170.76811,913551,False,,,,,1,,,0.7136077438716937,blue
170.79524,705122,False,,,,,1,,,0.55079630975643,blue
170.80144,629722,False,,,,,1,,,0.4918986413307749,blue
170.8124,598786,False,,,,,1,,,0.46773341228016385,blue
170.81379,581566,False,,,,,1,,,0.4542822471569572,blue
170.8236,618126,False,,,,,1,,,0.4828405861177258,blue
170.82828,647578,False,,,,,1,,,0.505846609068288,blue
