Name,m/z,I,I %,Res.,S/N
FA-parent,487.08295999999996,6987468,1.5,580688,6.2
FA-parent,487.08467,6165201,1.3,809307,5.2
FA-parent,487.0861,11506389,2.5,526113,11.7
FA-parent,487.08827,194007771,41.9,389326,233.7
FA-parent,487.09166,36676325,7.9,384934,42.4
FA-parent,487.09909000000005,8481018,1.8,249605,8.1
FA-parent,487.10125999999997,14471937,3.1,372382,15.3
FA-parent,487.1037,11911944,2.6,450321,12.2
FA-parent,487.10940999999997,54350617,11.7,396790,63.9
FA-parent,487.11392,5665062,1.2,271505,4.6
FA-parent,487.11572,7209771,1.6,545362,6.5
FA-parent,487.12107000000003,6658874,1.4,748754,5.8
FA-parent,487.12246,19960638,4.3,498107,22.0
FA-parent,487.12465999999995,271012677,58.5,393239,327.4
FA-parent,487.12795,20202318,4.4,403281,22.3
FA-parent,487.13577000000004,11790181,2.5,401601,12.1
FA-parent,487.14005,7883634,1.7,331623,7.3
FA-parent,487.14582,78328706,16.9,408503,93.0
FA-parent,487.15214000000003,7548821,1.6,438502,6.9
FA-parent,487.15885999999995,6552488,1.4,903157,5.7
FA-parent,487.16103,99013551,21.4,371853,118.2
FA-parent,487.16427999999996,6095800,1.3,472203,5.2
FA-parent,487.17467,5623766,1.2,598354,4.6
FA-parent,487.18210999999997,33436652,7.2,387988,38.4
FA-parent,487.19750999999997,25199640,5.4,409705,28.4
FA-parent,487.23372,7082114,1.5,623082,6.4
FA-parent,487.35965,5480432,1.2,385445,4.4
FA-parent,487.46985,5652016,1.2,326048,4.6
FA-parent,487.75413,5340780,1.2,461064,4.2
FA-parent,487.80150999999995,5522678,1.2,465263,4.5
FA-parent,487.81844,6565671,1.4,398182,5.7
FA-parent,488.01827000000003,6046574,1.3,303190,5.1
FA-parent,488.05518,6754778,1.5,632410,6.0
FA-parent,488.07347999999996,5387279,1.2,476222,4.3
FA-parent,488.08339000000007,16930348,3.7,456875,18.3
FA-parent,488.08952,6841918,1.5,590703,6.1
FA-parent,488.09155999999996,49856068,10.8,396636,58.4
FA-parent,488.09525999999994,7082574,1.5,261942,6.4
FA-parent,488.09864000000005,7954008,1.7,439351,7.4
FA-parent,488.10607000000005,6644334,1.4,203993,5.8
FA-parent,488.11267999999995,12576385,2.7,439550,13.0
FA-parent,488.11985,34397846,7.4,411133,39.6
FA-parent,488.12624000000005,5656233,1.2,622968,4.6
FA-parent,488.12794,70516398,15.2,390962,83.5
FA-parent,488.13133,6795960,1.5,588303,6.0
FA-parent,488.14075999999994,5948627,1.3,288881,5.0
FA-parent,488.14901,15077099,3.3,342487,16.1
FA-parent,488.15632,20844289,4.5,360674,23.1
FA-parent,488.16427999999996,28098327,6.1,407226,31.9
FA-parent,488.17735,5148478,1.1,480685,4.0
FA-parent,488.18217000000004,5256524,1.1,534082,4.1
FA-parent,488.18541,11131733,2.4,418229,11.3
FA-parent,488.20067,7264130,1.6,510899,6.6
FA-parent,488.30321,5153965,1.1,392470,4.0
FA-parent,488.61450999999994,5204026,1.1,555661,4.1
FA-parent,489.04627999999997,9277736,2.0,442340,9.0
FA-parent,489.04964,12867890,2.8,380451,13.4
