mass,intensity,assign,C,C_13,H,O,N,calc_mass,abs_error,rel_error,DBE,DBE-O,DBE_AI,CAI,AI,DBE-OC,H/C,O/C,class,CRAM,NOSC,brutto,Ke,KMD
324.98366,1358722,True,12.0,0.0,6.0,11.0,0.0,325.991015,-7.858000001825793e-05,-0.24179677223851173,10.0,-1.0,-1.0,1.0,-1.0,-0.08333333333333333,0.5,0.9166666666666666,unsat_highOC,False,1.3333333333333335,C12H6O11,325.62701052038256,0.3729894796174449
324.99903,1107334,True,16.0,0.0,6.0,8.0,0.0,326.00627,3.642000003245549e-05,0.11206187302299175,14.0,6.0,6.0,8.0,0.75,0.375,0.375,0.5,condensed_lowOC,False,0.625,C16H6O8,325.64224848651327,0.3577515134867326
325.02008,13680268,True,13.0,0.0,10.0,10.0,0.0,326.0274,-4.35799999929376e-05,-0.1340840233407659,9.0,-1.0,-1.0,3.0,-0.3333333333333333,-0.07692307692307693,0.7692307692307693,0.7692307692307693,unsat_highOC,False,0.7692307692307692,C13H10O10,325.66335489256653,0.3366451074334691
325.02653,1867918,True,15.0,2.0,8.0,7.0,0.0,326.033715,9.142000000728068e-05,0.28126934748151383,14.0,7.0,7.0,10.0,0.7,0.4117647058823529,0.47058823529411764,0.4117647058823529,condensed_lowOC,False,0.3529411764705883,C15(C_13)2H8O7,325.66966284118104,0.3303371588189634
325.03538,3685520,True,17.0,0.0,10.0,7.0,0.0,326.042655,1.4199999502917393e-06,0.004368755026888886,13.0,6.0,6.0,10.0,0.6,0.35294117647058826,0.5882352941176471,0.4117647058823529,aromatic_lowOC,False,0.23529411764705888,C17H10O7,325.67859285869724,0.3214071413027568
325.05647,33025686,True,14.0,0.0,14.0,9.0,0.0,326.063785,-3.858000000556139e-05,-0.11868706998990479,8.0,-1.0,-1.0,5.0,-0.2,-0.07142857142857142,1.0,0.6428571428571429,unsat_highOC,True,0.2857142857142856,C14H14O9,325.69969926475045,0.30030073524955014
325.06777,1226393,True,13.0,0.0,14.0,8.0,2.0,326.075018,2.841999999581013e-05,0.08742792309372945,8.0,0.0,-2.0,3.0,-0.6666666666666666,0.0,1.0769230769230769,0.6153846153846154,unsat_highOC,True,0.6153846153846154,C13H14O8N2,325.7109197218823,0.28908027811769443
325.07175,4441754,True,18.0,0.0,14.0,6.0,0.0,326.07904,-1.3580000011836901e-05,-0.04177539269972522,12.0,6.0,6.0,12.0,0.5,0.3333333333333333,0.7777777777777778,0.3333333333333333,undefinded,False,-0.11111111111111072,C18H14O6,325.71493723088116,0.2850627691188379
325.09287,96759456,True,15.0,0.0,18.0,8.0,0.0,326.10017,-2.357999998658933e-05,-0.07253311949471339,7.0,-1.0,-1.0,7.0,-0.14285714285714285,-0.06666666666666667,1.2,0.5333333333333333,unsat_highOC,True,-0.13333333333333375,C15H18O8,325.73604363693437,0.2639563630656312
325.10811,3925156,True,19.0,0.0,18.0,5.0,0.0,326.115425,-3.858000000556139e-05,-0.11866821779856979,11.0,6.0,6.0,14.0,0.42857142857142855,0.3157894736842105,0.9473684210526315,0.2631578947368421,unsat_lowOC,False,-0.4210526315789478,C19H18O5,325.75128160306514,0.24871839693486208
325.12927,122908328,True,16.0,0.0,22.0,7.0,0.0,326.136555,-8.579999967617269e-06,-0.02638950337389577,6.0,-1.0,-1.0,9.0,-0.1111111111111111,-0.0625,1.375,0.4375,unsat_lowOC,True,-0.5,C16H22O7,325.77238800911834,0.2276119908816554
325.14451,3164334,True,20.0,0.0,22.0,4.0,0.0,326.15181,-2.357999998658933e-05,-0.07252159966222198,10.0,6.0,6.0,16.0,0.375,0.3,1.1,0.2,unsat_lowOC,False,-0.7000000000000002,C20H22O4,325.7876259752491,0.2123740247508863
325.16567,32120500,True,17.0,0.0,26.0,6.0,0.0,326.17294,6.419999994511372e-06,0.01974378166831502,5.0,-1.0,-1.0,11.0,-0.09090909090909091,-0.058823529411764705,1.5294117647058822,0.35294117647058826,aliphatics,False,-0.8235294117647056,C17H26O6,325.8087323813023,0.1912676186976796
325.18332,26476216,True,18.0,2.0,24.0,2.0,2.0,326.190488,0.0001084199999643598,0.33341193504131705,10.0,8.0,6.0,16.0,0.375,0.4,1.2,0.1,unsat_lowOC,False,-0.7000000000000002,C18(C_13)2H24O2N2,325.82626078704874,0.17373921295126138
325.20204,3785918,True,18.0,0.0,30.0,5.0,0.0,326.209325,-8.579999967617269e-06,-0.026383598232093713,4.0,-1.0,-1.0,13.0,-0.07692307692307693,-0.05555555555555555,1.6666666666666667,0.2777777777777778,lipids,False,-1.1111111111111107,C18H30O5,325.84507675348624,0.15492324651376066
325.31116,3764956,True,21.0,0.0,42.0,2.0,0.0,326.31848,-4.358000004978102e-05,-0.1339640486043609,1.0,-1.0,-1.0,19.0,-0.05263157894736842,-0.047619047619047616,2.0,0.09523809523809523,lipids,False,-1.8095238095238093,C21H42O2,325.95410987003817,0.04589012996183328
326.02345,1952928,True,12.0,1.0,10.0,10.0,0.0,327.030755,-2.8579999973965542e-05,-0.08766240579923174,9.0,-1.0,-1.0,3.0,-0.3333333333333333,-0.07692307692307693,0.7692307692307693,0.7692307692307693,unsat_highOC,False,0.7692307692307692,C12(C_13)H10O10,326.66558953740997,0.3344104625900286
326.03062,1372578,True,16.0,0.0,9.0,7.0,1.0,327.037904,-7.580000026985445e-06,-0.023249350097808128,13.0,6.0,5.0,8.0,0.625,0.375,0.5625,0.4375,aromatic_lowOC,False,0.5,C16H9O7N,326.6727305547727,0.3272694452272731
