,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
1632,1632,503.085056037,0.0047537442773731,-0.3776737106718497,18.0,N1O10,H17_C26_N_O10,0,26,17,10,1,0,True
1633,1633,503.100606037,0.0064292834390163,0.2065551080424088,22.0,N1O7,H17_C30_N_O7,0,30,17,7,1,0,True
1634,1634,503.121466037,0.0047279103753538,-0.328966285799099,17.0,N1O9,H21_C27_N_O9,0,27,21,9,1,0,True
1635,1635,504.032936037,0.0091753833961188,0.1188672321707403,19.0,O12,H12_C25_O12,0,25,12,12,0,0,True
1636,1636,504.048076037,0.0102315853143878,-0.1114318310007296,23.0,O9,H12_C29_O9,0,29,12,9,0,0,True
1637,1637,504.069136037,0.0122562011204129,-0.2491622497923767,18.0,O11,H16_C26_O11,0,26,16,11,0,0,True
1638,1638,504.084756037,0.0055836723802067,0.4727875563459652,22.0,O8,H16_C30_O8,0,30,16,8,0,0,True
1639,1639,504.095616037,0.0044854023508398,-0.2679154424090301,22.0,N2O7,H16_C29_N2_O7,0,29,16,7,2,0,True
1640,1640,504.105846037,0.0063411925114806,0.3945540437232043,17.0,O10,H20_C27_O10,0,27,20,10,0,0,True
1641,1641,504.142126037,0.0059433582119474,0.1852433970603281,16.0,O9,H24_C28_O9,0,28,24,9,0,0,True
1642,1642,504.178316037,0.0092176560357528,-0.2025454025167492,15.0,O8,H28_C29_O8,0,29,28,8,0,0,True
1643,1643,505.079786037,0.0095960318799252,0.0383147387264078,22.0,N1O8,H15_C29_N_O8,0,29,15,8,1,0,True
1644,1644,505.116036037,0.0063598240871876,-0.2299590423707909,21.0,N1O7,H19_C30_N_O7,0,30,19,7,1,0,True
1645,1645,506.012226037,0.0053324592316117,0.1686658852224785,19.0,O13,H10_C24_O13,0,24,10,13,0,0,True
1646,1646,506.048436037,0.0099636110522472,-0.1781667397470553,18.0,O12,H14_C25_O12,0,25,14,12,0,0,True
1647,1647,506.063806037,0.0140905620471544,0.0469486253717051,22.0,O9,H14_C29_O9,0,29,14,9,0,0,True
1648,1648,506.084936037,0.006215778534888,0.0480769101934003,17.0,O11,H18_C26_O11,0,26,18,11,0,0,True
1649,1649,506.121406037,0.0059436060810545,0.2150136284499152,16.0,O10,H22_C27_O10,0,27,22,10,0,0,True
1650,1650,506.136686037,0.0053083535957238,0.2622670983090085,20.0,O7,H22_C31_O7,0,31,22,7,0,0,True
1651,1651,506.157686037,0.0063715523378234,0.006549342440873,15.0,O9,H26_C28_O9,0,28,26,9,0,0,True
1652,1652,506.194166037,0.0085079084138472,0.1932203225438417,14.0,O8,H30_C29_O8,0,29,30,8,0,0,True
1653,1653,506.230306037,0.0083763576072218,-0.2917664119308136,13.0,O7,H34_C30_O7,0,30,34,7,0,0,True
1654,1654,507.043806037,0.0044979306976306,0.0608744247813279,18.0,N1O12,H13_C24_N_O12,0,24,13,12,1,0,True
1655,1655,507.058986037,0.0081631224859723,-0.0891691128624059,22.0,N1O9,H13_C28_N_O9,0,28,13,9,1,0,True
1656,1656,507.067106037,0.004849049218566,-0.0612956345647774,22.0,O9,H14_C28_13C_O9,0,29,14,9,0,0,True
1657,1657,507.095376037,0.0074890300316077,-0.0803044197635529,21.0,N1O8,H17_C29_N_O8,0,29,17,8,1,0,True
1658,1658,507.131576037,0.0057368340615505,-0.4460972470316359,20.0,N1O7,H21_C30_N_O7,0,30,21,7,1,0,True
1659,1659,508.027876037,0.0056893284132247,0.1678510255970458,18.0,O13,H12_C24_O13,0,24,12,13,0,0,True
1660,1660,508.042966037,0.0120971499911705,-0.1590554448397365,22.0,O10,H12_C28_O10,0,28,12,10,0,0,True
1661,1661,508.079416037,0.0123485701031652,-0.0321111218521981,21.0,O9,H16_C29_O9,0,29,16,9,0,0,True
1662,1662,508.115946037,0.0072583447304344,0.2522593534439969,20.0,O8,H20_C30_O8,0,30,20,8,0,0,True
1663,1663,508.136836037,0.0059898085904207,-0.218939057502692,15.0,O10,H24_C27_O10,0,27,24,10,0,0,True
1664,1664,508.209796037,0.00714389981403,0.1529545487278335,13.0,O8,H32_C29_O8,0,29,32,8,0,0,True
1665,1665,508.246006037,0.0068627509923186,-0.1923773111199116,12.0,O7,H36_C30_O7,0,30,36,7,0,0,True
1666,1666,509.038406037,0.0092045467305246,0.2165259020933634,22.0,N1O10,H11_C27_N_O10,0,27,11,10,1,0,True
1667,1667,509.059536037,0.0053778855064856,0.2176405550699797,17.0,N1O12,H15_C24_N_O12,0,24,15,12,1,0,True
1668,1668,509.074566037,0.0106288152807936,-0.2264658415665574,21.0,N1O9,H15_C28_N_O9,0,28,15,9,1,0,True
1669,1669,509.111176037,0.0071871595473378,0.2144993180440291,20.0,N1O8,H19_C29_N_O8,0,29,19,8,1,0,True
1670,1670,510.022466037,0.0047954846558401,0.3031768409876693,22.0,O11,H10_C27_O11,0,27,10,11,0,0,True
1671,1671,510.058726037,0.0193729088655485,0.0570895045791171,21.0,O10,H14_C28_O10,0,28,14,10,0,0,True
1672,1672,510.070066037,0.0063549192980992,0.2661183414019422,21.0,N2O9,H14_C27_N2_O9,0,27,14,9,2,0,True
1673,1673,510.095076037,0.0131138233610002,-0.0125251159320803,20.0,O9,H18_C29_O9,0,29,18,9,0,0,True
1674,1674,510.188836037,0.0046887090725725,-0.2878012799560002,13.0,O9,H30_C28_O9,0,28,30,9,0,0,True
1675,1675,510.225156037,0.004977528201366,-0.4161711697192583,12.0,O8,H34_C29_O8,0,29,34,8,0,0,True
1676,1676,510.261676037,0.0076289991353906,-0.1525668175598345,11.0,O7,H38_C30_O7,0,30,38,7,0,0,True
1677,1677,510.298316037,0.0046570816562776,0.3461563451814524,10.0,O6,H42_C31_O6,0,31,42,6,0,0,True
1678,1678,511.053936037,0.0134474459265775,-0.0192817222331668,21.0,N1O10,H13_C27_N_O10,0,27,13,10,1,0,True
1679,1679,511.090446037,0.0075424090577328,0.2243008080126718,20.0,N1O9,H17_C28_N_O9,0,28,17,9,1,0,True
1680,1680,512.0380060370001,0.0137412370466928,0.0870111193716684,21.0,O11,H12_C27_O11,0,27,12,11,0,0,True
1681,1681,512.0532660370001,0.0062838159264172,0.0946639799437176,25.0,O8,H12_C31_O8,0,31,12,8,0,0,True
1682,1682,512.074266037,0.0132705969188997,-0.1580923028154626,20.0,O10,H16_C28_O10,0,28,16,10,0,0,True
1683,1683,512.168296037,0.0047447528133413,0.0948926366180904,13.0,O10,H28_C27_O10,0,27,28,10,0,0,True
1684,1684,512.2411260370001,0.0065929773660316,0.2100280406138656,11.0,O8,H36_C29_O8,0,29,36,8,0,0,True
1685,1685,512.277396037,0.0076243008227293,-0.0154662299363442,10.0,O7,H40_C30_O7,0,30,40,7,0,0,True
1686,1686,513.033336037,0.0054950014681788,0.2447794153122358,21.0,N1O11,H11_C26_N_O11,0,26,11,11,1,0,True
1687,1687,513.106066037,0.0064426449961059,0.1648080302953826,19.0,N1O9,H19_C28_N_O9,0,28,19,9,1,0,True
1688,1688,514.053696037,0.0140038034769405,0.1643388632682923,20.0,O11,H14_C27_O11,0,27,14,11,0,0,True
1689,1689,514.090076037,0.0119314672676265,0.153613157838628,19.0,O10,H18_C28_O10,0,28,18,10,0,0,True
