peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
1950,393.186946037,0.017935526622393103,0.22300079112172536,7.0,O7,H28_C20_13C_O7,0,21,28,7,0,0
1959,394.105236037,0.015326505398267893,-0.043412262597967606,13.0,O7,H18_C22_O7,0,22,18,7,0,0
1966,394.199216037,0.0696233834323663,0.1584148254595555,6.0,O7,H30_C21_O7,0,21,30,7,0,0
1975,395.202546037,0.027298984912035418,0.09515879996579797,6.0,O7,H30_C20_13C_O7,0,21,30,7,0,0
1984,396.120986037,0.018398420812458738,0.20906996331849306,12.0,O7,H20_C22_O7,0,22,20,7,0,0
1989,396.214856037,0.06484722100858285,0.13218333239863056,5.0,O7,H32_C21_O7,0,21,32,7,0,0
2012,398.136496037,0.02596906675987417,-0.1438124879461042,11.0,O7,H22_C22_O7,0,22,22,7,0,0
2017,398.230416037,0.037154355508951804,-0.09467132212486895,4.0,O7,H34_C21_O7,0,21,34,7,0,0
2036,400.058376037,0.014391305244863878,0.18275582870184912,17.0,O7,H12_C23_O7,0,23,12,7,0,0
2043,400.152276037,0.033402911278107884,0.18160336544609013,10.0,O7,H24_C22_O7,0,22,24,7,0,0
2049,400.246206037,0.029836559186764533,0.255405294131275,3.0,O7,H36_C21_O7,0,21,36,7,0,0
2074,402.167926037,0.047709164676298106,0.18050917367121166,9.0,O7,H26_C22_O7,0,22,26,7,0,0
2079,402.261746037,0.028850556089556875,-0.0195121710239625,2.0,O7,H38_C21_O7,0,21,38,7,0,0
2097,404.183536037,0.05839264388908307,0.08046097165606823,8.0,O7,H28_C22_O7,0,22,28,7,0,0
2101,404.277406037,0.016095455163307314,0.00513756135128266,1.0,O7,H40_C21_O7,0,21,40,7,0,0
2124,406.199146037,0.0631977334071226,-0.01859432759199913,7.0,O7,H30_C22_O7,0,22,30,7,0,0
2145,408.214896037,0.046664415365645265,0.22628522605686177,6.0,O7,H32_C22_O7,0,22,32,7,0,0
2155,409.218316037,0.01531330100198066,0.3849607749104925,6.0,O7,H32_C21_13C_O7,0,22,32,7,0,0
2166,410.136466037,0.024929633189638433,-0.21275113832588136,12.0,O7,H22_C23_O7,0,23,22,7,0,0
2171,410.230516037,0.03567371548409647,0.15186339763353832,5.0,O7,H34_C22_O7,0,22,34,7,0,0
2192,412.152216037,0.022433134539205406,0.030738643549822173,11.0,O7,H24_C23_O7,0,23,24,7,0,0
2198,412.246166037,0.029728533146918326,0.15094136743619566,4.0,O7,H36_C22_O7,0,22,36,7,0,0
2221,414.167896037,0.027156989106373063,0.10284476520869178,10.0,O7,H26_C23_O7,0,23,26,7,0,0
2225,414.261676037,0.022329186327624373,-0.18792228327864743,3.0,O7,H38_C22_O7,0,22,38,7,0,0
2244,416.183516037,0.04767628111771331,0.03008528581286016,9.0,O7,H28_C23_O7,0,23,28,7,0,0
2248,416.277466037,0.025095549827177755,0.14912409404831856,2.0,O7,H40_C22_O7,0,22,40,7,0,0
2271,418.199136037,0.04733560041166647,-0.041972826940995175,8.0,O7,H30_C23_O7,0,23,30,7,0,0
2275,418.293136037,0.02253031064313177,0.19604194518316753,1.0,O7,H42_C22_O7,0,22,42,7,0,0
2295,420.214766037,0.05073551400054371,-0.08954230794454786,7.0,O7,H32_C23_O7,0,23,32,7,0,0
2313,422.136526037,0.015789393520136703,-0.06456915788635653,13.0,O7,H22_C24_O7,0,24,22,7,0,0
2317,422.230526037,0.046715970765854986,0.17123110611760659,6.0,O7,H34_C23_O7,0,23,34,7,0,0
2338,424.152136037,0.01844647486310148,-0.15874256958236554,12.0,O7,H24_C24_O7,0,24,24,7,0,0
2342,424.246116037,0.02508627762243194,0.02881582061813188,5.0,O7,H36_C23_O7,0,23,36,7,0,0
2363,426.167876037,0.02235860494582314,0.05301901266859718,11.0,O7,H26_C24_O7,0,24,26,7,0,0
2367,426.261906037,0.022992725445648374,0.3569425225524707,4.0,O7,H38_C23_O7,0,23,38,7,0,0
2388,428.183476037,0.025646093052157367,-0.0641757599719888,10.0,O7,H28_C24_O7,0,24,28,7,0,0
2393,428.277406037,0.015008313429647754,0.004849660400420612,3.0,O7,H40_C23_O7,0,23,40,7,0,0
2414,430.199016037,0.04041658778010797,-0.31974271180112107,9.0,O7,H30_C24_O7,0,24,30,7,0,0
2418,430.293126037,0.03541474304827372,0.16733476706219463,2.0,O7,H42_C23_O7,0,23,42,7,0,0
2438,432.214786037,0.03881968110412055,-0.0407829638097433,8.0,O7,H32_C24_O7,0,24,32,7,0,0
2443,432.308786037,0.022819344926016543,0.18951500103266586,1.0,O7,H44_C23_O7,0,23,44,7,0,0
2458,434.136536037,0.014868065264670473,-0.03975016749812995,14.0,O7,H22_C25_O7,0,25,22,7,0,0
2462,434.230466037,0.038042836615014175,0.028323669002629573,7.0,O7,H34_C24_O7,0,24,34,7,0,0
2482,436.152006037,0.015243729125402929,-0.45243630030321214,13.0,O7,H24_C25_O7,0,25,24,7,0,0
2485,436.246226037,0.03510341421026059,0.28017434349973885,6.0,O7,H36_C24_O7,0,24,36,7,0,0
2497,438.167866037,0.021898301875801003,0.028744691293128455,12.0,O7,H26_C25_O7,0,25,26,7,0,0
2500,438.261616037,0.015287049982523592,-0.3145358729893333,5.0,O7,H38_C24_O7,0,24,38,7,0,0
2516,440.183476037,0.02000248189250068,-0.06242624150619539,11.0,O7,H28_C25_O7,0,25,28,7,0,0
2519,440.277276037,0.0170387381548798,-0.29055099365527826,4.0,O7,H40_C24_O7,0,24,40,7,0,0
2539,442.199006037,0.022474823051380637,-0.3336800806021048,10.0,O7,H30_C25_O7,0,25,30,7,0,0
2543,442.292946037,0.014881767253097207,-0.24417527105980932,3.0,O7,H42_C24_O7,0,24,42,7,0,0
2562,444.214706037,0.024947000368946367,-0.2197743538779744,9.0,O7,H32_C25_O7,0,25,32,7,0,0
2567,444.308706037,0.022343646840654006,0.004341575982260517,2.0,O7,H44_C24_O7,0,24,44,7,0,0
2603,448.246216037,0.021806696376558313,0.25036463442256746,7.0,O7,H36_C25_O7,0,25,36,7,0,0
2622,450.261776037,0.02022077920501767,0.04919582601701625,6.0,O7,H38_C25_O7,0,25,38,7,0,0
2637,452.277516037,0.023450437395627015,0.247805818350204,5.0,O7,H40_C25_O7,0,25,40,7,0,0
2653,454.198956037,0.018993219396869782,-0.43494815947563,11.0,O7,H30_C26_O7,0,26,30,7,0,0
2674,456.214936037,0.025149301914637462,0.2901549018435211,10.0,O7,H32_C26_O7,0,26,32,7,0,0
2695,458.230586037,0.024656436900462153,0.2887170871180054,9.0,O7,H34_C26_O7,0,26,34,7,0,0
2698,458.324336037,0.043907087411161595,-0.039589867980365664,2.0,O7,H46_C25_O7,0,25,46,7,0,0
2715,460.246206037,0.02551183419744456,0.22210938110283704,8.0,O7,H36_C26_O7,0,26,36,7,0,0
2732,462.261726037,0.022483445959066373,-0.060245091520276364,7.0,O7,H38_C26_O7,0,26,38,7,0,0
