m/z	Intensity	Relative
 211.1702	      6.9	    0.10
 211.1706	     15.7	    0.22
 211.1862	      5.6	    0.08
 211.2361	     12.5	    0.18
 211.2527	      4.1	    0.06
 211.2891	      6.5	    0.09
 211.3713	      7.1	    0.10
 211.3785	     11.7	    0.17
 211.4101	      7.8	    0.11
 211.4126	     18.4	    0.26
 211.4163	      6.3	    0.09
 211.4486	      9.6	    0.14
 211.4687	     13.8	    0.20
 211.4977	      6.1	    0.09
 211.5005	      6.8	    0.10
 211.5050	      4.1	    0.06
 211.5211	      7.4	    0.10
 211.5266	      6.0	    0.08
 211.5320	     10.8	    0.15
 211.5365	      6.0	    0.09
 211.5489	     18.3	    0.26
 211.6252	     10.1	    0.14
 211.6636	      4.1	    0.06
 211.6827	     13.2	    0.19
 211.7410	      7.1	    0.10
 211.7501	      7.0	    0.10
 211.7584	      7.4	    0.11
 211.7660	     12.9	    0.18
 211.7853	     10.6	    0.15
 211.8087	      8.7	    0.12
 211.8372	     10.6	    0.15
 211.8403	     10.7	    0.15
 211.8461	     10.4	    0.15
 211.9027	      4.5	    0.06
 211.9041	     12.1	    0.17
 211.9997	     11.4	    0.16
 212.0038	      8.7	    0.12
 212.0200	     28.5	    0.40
 212.0220	      9.7	    0.14
 212.0282	     38.8	    0.55
 212.0397	      5.5	    0.08
 212.0404	      5.6	    0.08
 212.0499	     12.7	    0.18
 212.0564	      8.9	    0.13
 212.0590	      5.7	    0.08
 212.0644	      6.9	    0.10
 212.0841	     10.7	    0.15
 212.1785	     10.6	    0.15
 212.2264	      5.7	    0.08
 212.2958	      6.9	    0.10
 212.3047	      5.6	    0.08
 212.3385	     11.3	    0.16
 212.3657	    150.9	    2.14
 212.3742	      9.1	    0.13
 212.3834	      5.1	    0.07
 212.3868	      5.3	    0.08
 212.4326	      6.5	    0.09
 212.4992	      4.8	    0.07
 212.5054	     10.2	    0.15
 212.5297	     11.4	    0.16
 212.5396	      6.0	    0.09
 212.5601	      8.7	    0.12
 212.5869	      5.3	    0.08
 212.6113	      3.8	    0.05
 212.6132	      8.7	    0.12
 212.6143	      6.5	    0.09
 212.6666	     24.5	    0.35
 212.7314	     11.7	    0.17
 212.7423	      8.8	    0.13
 212.7862	      7.6	    0.11
 212.8631	      6.2	    0.09
 212.8664	      9.5	    0.13
 212.8782	      5.5	    0.08
