m/z	Intensity	Relative
 694.5430	     48.6	    0.69
 694.5529	      7.6	    0.11
 694.5560	     24.3	    0.35
 694.5588	     10.3	    0.15
 694.5623	     25.8	    0.37
 694.5676	     18.8	    0.27
 694.5710	     23.4	    0.33
 694.5801	     37.3	    0.53
 694.5863	     49.7	    0.71
 694.5921	     13.0	    0.18
 694.6035	     24.6	    0.35
 694.6052	     34.1	    0.48
 694.6111	     14.1	    0.20
 694.6137	      9.8	    0.14
 694.6209	     16.3	    0.23
 694.6425	     11.9	    0.17
 694.6610	     22.3	    0.32
 694.7009	     35.1	    0.50
 694.7221	     19.1	    0.27
 694.7294	     22.6	    0.32
 694.7568	     10.4	    0.15
 694.7600	      8.7	    0.12
 694.7790	     50.9	    0.72
 694.7829	     28.8	    0.41
 694.7922	     12.3	    0.17
 694.7958	     20.4	    0.29
 694.8015	     23.0	    0.33
 694.8061	     52.5	    0.75
 694.8199	     19.5	    0.28
 694.8239	     45.4	    0.65
 694.8327	     18.5	    0.26
 694.8419	     22.9	    0.33
 694.8486	     26.4	    0.37
 694.8548	     13.0	    0.18
 694.8620	     17.3	    0.25
 694.8736	     23.5	    0.33
 694.9558	     13.8	    0.20
 694.9653	     22.6	    0.32
 695.0196	     32.2	    0.46
 695.0314	     62.4	    0.89
 695.0418	     12.2	    0.17
 695.0441	     18.0	    0.26
 695.0462	     12.9	    0.18
 695.0519	    192.2	    2.73
 695.0627	     35.9	    0.51
 695.0666	     43.5	    0.62
 695.0694	     15.8	    0.22
 695.0741	     27.5	    0.39
 695.0834	     11.3	    0.16
 695.0886	    206.6	    2.93
 695.0972	     25.4	    0.36
 695.0993	      8.7	    0.12
 695.1033	     41.5	    0.59
 695.1081	     16.6	    0.24
 695.1155	     17.3	    0.25
 695.1245	    105.5	    1.50
 695.1324	     16.9	    0.24
 695.1360	     12.1	    0.17
 695.1411	     21.6	    0.31
 695.1477	     12.3	    0.17
 695.1609	     64.3	    0.91
 695.1681	      9.4	    0.13
 695.1718	     17.0	    0.24
 695.1809	     13.1	    0.19
 695.1834	     24.1	    0.34
 695.1922	     15.6	    0.22
 695.1967	     33.3	    0.47
 695.2107	      9.2	    0.13
 695.2242	     12.3	    0.18
 695.2263	     53.9	    0.77
 695.2344	     24.9	    0.35
 695.2497	     22.4	    0.32
 695.2639	     24.4	    0.35
 695.2744	     34.8	    0.49
 695.2780	     91.2	    1.30
 695.2835	     30.9	    0.44
 695.2902	     29.2	    0.41
 695.2986	     35.3	    0.50
 695.3063	     28.2	    0.40
 695.3124	      7.7	    0.11
 695.3211	     24.7	    0.35
 695.3483	     33.3	    0.47
 695.3554	     25.5	    0.36
 695.3598	      8.7	    0.12
 695.3638	     18.8	    0.27
 695.3692	      6.8	    0.10
 695.3830	     58.0	    0.82
 695.3873	     17.3	    0.25
 695.3906	     25.7	    0.36
 695.3963	     10.4	    0.15
 695.3993	     21.5	    0.31
 695.4066	     18.6	    0.26
 695.4638	     27.7	    0.39
 695.4690	      9.6	    0.14
 695.4716	     10.6	    0.15
 695.4908	     12.8	    0.18
 695.4941	     22.5	    0.32
 695.5408	     12.8	    0.18
 695.5512	     16.2	    0.23
 695.5632	     44.1	    0.63
 695.5752	     12.5	    0.18
 695.5782	     13.9	    0.20
 695.5827	     13.0	    0.18
 695.6027	      8.8	    0.13
 695.6060	     20.8	    0.30
 695.6200	     10.8	    0.15
 695.6428	     14.1	    0.20
 695.6528	      9.4	    0.13
 695.6639	     17.9	    0.25
 695.6675	     13.8	    0.20
 695.6821	      7.5	    0.11
 695.7105	     20.0	    0.28
 695.7206	     13.9	    0.20
 695.7405	     43.1	    0.61
 695.7472	     58.7	    0.83
 695.7521	     20.6	    0.29
 695.7583	      8.0	    0.11
 695.7617	     22.5	    0.32
 695.7674	     13.5	    0.19
 695.7734	     12.7	    0.18
 695.7840	     26.2	    0.37
 695.7862	     20.4	    0.29
 695.7985	     27.1	    0.39
 695.8207	     29.3	    0.42
 695.8271	     28.3	    0.40
 695.8283	     28.6	    0.41
 695.8357	      9.4	    0.13
 695.8404	     13.0	    0.18
 695.8451	     16.7	    0.24
 695.8651	     24.4	    0.35
 695.8819	     24.1	    0.34
 695.9192	     41.3	    0.59
 695.9256	     10.3	    0.15
 695.9566	     18.3	    0.26
 696.0145	      9.3	    0.13
 696.0395	     28.2	    0.40
 696.0457	     23.2	    0.33
 696.0509	     39.1	    0.56
 696.0577	     27.7	    0.39
 696.0636	      7.5	    0.11
 696.0696	     27.1	    0.39
 696.0724	     32.9	    0.47
 696.0760	     64.2	    0.91
 696.0804	      6.8	    0.10
 696.0852	     94.3	    1.34
 696.0917	    110.8	    1.57
 696.0960	     23.7	    0.34
 696.1008	     44.6	    0.63
 696.1050	     40.4	    0.57
 696.1083	     19.7	    0.28
 696.1127	     31.5	    0.45
 696.1153	     32.9	    0.47
 696.1220	     12.1	    0.17
 696.1273	     41.0	    0.58
 696.1331	     18.8	    0.27
 696.1453	      9.0	    0.13
 696.1542	     19.6	    0.28
 696.1586	     16.2	    0.23
 696.2034	     21.4	    0.30
 696.2110	     35.9	    0.51
 696.2135	     10.9	    0.16
 696.2177	     19.6	    0.28
 696.2375	     51.4	    0.73
 696.2792	     12.8	    0.18
 696.2850	     18.8	    0.27
 696.2992	     19.7	    0.28
 696.3018	     10.1	    0.14
 696.3193	     11.7	    0.17
 696.3356	     21.7	    0.31
 696.3467	     25.6	    0.36
 696.3628	     54.6	    0.78
 696.3886	     25.0	    0.36
 696.4015	     17.4	    0.25
 696.4074	     29.1	    0.41
 696.4128	     15.9	    0.23
 696.4207	     21.5	    0.31
 696.4239	      7.8	    0.11
 696.4285	     28.5	    0.40
 696.4335	      8.4	    0.12
 696.4389	     23.5	    0.33
 696.4421	     20.7	    0.29
 696.4601	     18.3	    0.26
 696.4650	     24.2	    0.34
 696.4683	     58.3	    0.83
 696.4857	      8.9	    0.13
 696.4999	     12.5	    0.18
 696.5088	     12.2	    0.17
 696.5110	     18.7	    0.27
 696.5168	     34.3	    0.49
 696.5246	      8.5	    0.12
 696.5358	     22.4	    0.32
 696.5519	     11.1	    0.16
 696.5540	     18.0	    0.26
 696.5572	     17.1	    0.24
 696.5628	      7.8	    0.11
 696.5646	     20.7	    0.29
 696.5684	     15.8	    0.22
 696.5716	     26.0	    0.37
 696.5789	     26.3	    0.37
 696.5876	     23.6	    0.34
 696.5937	     30.7	    0.44
 696.6006	     32.7	    0.46
 696.6093	     23.5	    0.33
 696.6120	     10.1	    0.14
 696.6267	     10.0	    0.14
 696.6290	     20.5	    0.29
 696.6326	     15.5	    0.22
 696.6420	     20.9	    0.30
 696.6662	     18.9	    0.27
 696.6708	     40.9	    0.58
 696.6768	     13.0	    0.18
 696.6797	     12.3	    0.17
 696.6853	      7.1	    0.10
 696.6916	     62.2	    0.88
 696.7088	     18.6	    0.26
 696.7123	      9.3	    0.13
 696.7224	      8.2	    0.12
 696.7387	     20.3	    0.29
 696.7442	      9.3	    0.13
 696.7576	     21.6	    0.31
 696.7662	     13.1	    0.19
 696.7728	     11.9	    0.17
 696.7964	      9.5	    0.14
 696.8006	     14.5	    0.21
 696.8097	     17.3	    0.25
 696.8121	     15.6	    0.22
 696.8260	     14.0	    0.20
 696.8359	     27.4	    0.39
 696.8475	     10.6	    0.15
 696.8582	     32.2	    0.46
 696.8633	     10.1	    0.14
 696.8662	     18.4	    0.26
 696.8750	     11.1	    0.16
 696.8882	     26.0	    0.37
 696.8916	     14.9	    0.21
 696.8986	     22.6	    0.32
 696.9310	     35.3	    0.50
 696.9544	     16.7	    0.24
 697.0037	     22.9	    0.33
 697.0306	      7.2	    0.10
 697.0345	     11.0	    0.16
 697.0366	      7.7	    0.11
 697.0377	      8.6	    0.12
 697.0461	     59.9	    0.85
 697.0504	     45.9	    0.65
 697.0615	     49.4	    0.70
 697.0673	    209.8	    2.98
 697.0727	     40.7	    0.58
 697.0768	     29.7	    0.42
 697.0822	    191.2	    2.72
 697.0928	     16.7	    0.24
 697.0970	     25.2	    0.36
 697.0993	     20.9	    0.30
 697.1038	    151.2	    2.15
 697.1091	     22.0	    0.31
 697.1147	     17.0	    0.24
 697.1204	     28.4	    0.40
 697.1235	     40.7	    0.58
 697.1294	     29.3	    0.42
 697.1333	     24.6	    0.35
 697.1408	     45.3	    0.64
 697.1482	      5.9	    0.08
 697.1579	     32.0	    0.45
 697.1765	     24.0	    0.34
 697.1916	     18.3	    0.26
 697.2077	     14.3	    0.20
 697.2357	     16.9	    0.24
 697.2766	     17.6	    0.25
 697.2834	     23.4	    0.33
 697.3013	      7.8	    0.11
 697.3095	     28.5	    0.40
 697.3141	     10.8	    0.15
 697.3379	     41.1	    0.58
 697.3482	     29.1	    0.41
 697.3731	      6.4	    0.09
 697.3784	     26.0	    0.37
 697.3878	     20.6	    0.29
 697.4121	     19.5	    0.28
 697.4161	     33.2	    0.47
 697.4182	     45.0	    0.64
 697.4221	      9.8	    0.14
 697.4244	     13.4	    0.19
 697.4271	     15.5	    0.22
 697.4329	     10.1	    0.14
 697.4601	     33.0	    0.47
 697.4671	     20.6	    0.29
 697.4705	     14.3	    0.20
 697.4737	     24.2	    0.34
 697.4789	     18.0	    0.26
 697.4889	     26.7	    0.38
 697.4940	     50.7	    0.72
 697.4978	     14.6	    0.21
 697.5058	     16.8	    0.24
 697.5428	     11.5	    0.16
 697.5589	      8.0	    0.11
 697.5639	     17.5	    0.25
 697.5751	     28.0	    0.40
 697.5818	     10.1	    0.14
 697.5845	     11.5	    0.16
 697.5874	     27.0	    0.38
 697.5924	      9.5	    0.14
 697.5976	     17.9	    0.25
 697.6065	     60.4	    0.86
 697.6130	      9.3	    0.13
 697.6166	     16.1	    0.23
 697.6288	     19.0	    0.27
 697.6298	     17.4	    0.25
 697.6337	     14.1	    0.20
 697.6387	     16.3	    0.23
 697.6425	     19.3	    0.27
 697.6593	     11.7	    0.17
 697.6618	     27.1	    0.39
 697.6741	     12.5	    0.18
 697.6925	     10.4	    0.15
 697.7040	     24.9	    0.35
 697.7138	     42.3	    0.60
 697.7224	     18.4	    0.26
 697.7390	     20.5	    0.29
 697.7485	      9.5	    0.14
 697.7505	     28.7	    0.41
 697.7705	     30.2	    0.43
 697.7737	     16.0	    0.23
 697.7778	     21.1	    0.30
 697.7811	     12.4	    0.18
 697.7867	     28.8	    0.41
 697.7898	      9.2	    0.13
 697.7953	      8.1	    0.11
 697.8132	     26.8	    0.38
 697.8344	     20.8	    0.30
 697.8391	     11.1	    0.16
 697.8535	     39.5	    0.56
 697.8568	     12.4	    0.18
 697.8618	     24.1	    0.34
 697.8777	     47.6	    0.68
 697.8917	     25.6	    0.36
 697.8945	     19.4	    0.28
 697.8976	     17.9	    0.25
 697.9132	      9.6	    0.14
 697.9418	     47.1	    0.67
 698.0115	      5.3	    0.08
 698.0380	      8.3	    0.12
 698.0391	     10.1	    0.14
 698.0397	      9.5	    0.14
 698.0455	     18.4	    0.26
 698.0494	     13.2	    0.19
 698.0535	     22.4	    0.32
 698.0610	     19.5	    0.28
 698.0637	     71.4	    1.01
 698.0666	     12.7	    0.18
 698.0708	     64.7	    0.92
 698.0742	     20.2	    0.29
 698.0776	     29.1	    0.41
 698.0830	     62.5	    0.89
 698.0851	     34.6	    0.49
 698.0905	     62.0	    0.88
 698.0975	     15.7	    0.22
 698.1041	     16.3	    0.23
 698.1075	    103.4	    1.47
 698.1125	     20.0	    0.28
 698.1139	     19.1	    0.27
 698.1149	     19.6	    0.28
 698.1190	     19.5	    0.28
 698.1222	     16.8	    0.24
 698.1256	     15.3	    0.22
 698.1308	      9.0	    0.13
 698.1376	     11.2	    0.16
 698.1430	     25.1	    0.36
 698.1942	     31.1	    0.44
 698.2090	     23.8	    0.34
 698.2244	     22.3	    0.32
 698.2413	     73.3	    1.04
 698.2669	      7.4	    0.10
 698.2761	     22.9	    0.33
 698.2811	     10.4	    0.15
 698.3247	     29.0	    0.41
 698.3298	     28.9	    0.41
 698.3425	     11.5	    0.16
 698.3471	     21.7	    0.31
 698.3507	     29.0	    0.41
 698.3548	     14.2	    0.20
 698.3589	     26.9	    0.38
 698.3623	     26.4	    0.38
 698.3750	     14.1	    0.20
 698.3795	     18.4	    0.26
 698.3877	     24.0	    0.34
 698.3955	     33.6	    0.48
 698.4012	     12.1	    0.17
 698.4179	     15.5	    0.22
 698.4236	     44.5	    0.63
 698.4323	     13.4	    0.19
 698.4377	      7.3	    0.10
 698.4510	     12.8	    0.18
 698.4530	     10.8	    0.15
 698.4612	     15.5	    0.22
 698.4663	      7.2	    0.10
 698.4845	     24.5	    0.35
 698.4887	     32.7	    0.47
 698.5009	     18.6	    0.26
 698.5166	     28.5	    0.40
 698.5285	     15.4	    0.22
 698.5314	     27.6	    0.39
 698.5567	     12.1	    0.17
 698.5647	     18.9	    0.27
 698.5685	      8.2	    0.12
 698.5792	     28.8	    0.41
 698.5840	     21.7	    0.31
 698.5869	     17.0	    0.24
 698.6207	     19.0	    0.27
 698.6238	     12.5	    0.18
 698.6293	     10.9	    0.15
 698.6353	     12.6	    0.18
 698.6400	     28.6	    0.41
 698.6451	     18.7	    0.27
 698.6717	     11.2	    0.16
 698.6783	     23.7	    0.34
 698.6837	     14.7	    0.21
 698.6882	     16.5	    0.23
 698.6913	     13.9	    0.20
 698.6954	     14.8	    0.21
 698.7092	      8.5	    0.12
 698.7137	     12.5	    0.18
 698.7175	     13.5	    0.19
 698.7236	     12.5	    0.18
 698.7277	     22.8	    0.32
 698.7492	     37.9	    0.54
 698.7632	     29.1	    0.41
 698.7803	     10.1	    0.14
 698.7852	     13.6	    0.19
 698.7919	     47.4	    0.67
 698.8034	     27.9	    0.40
 698.8069	     28.0	    0.40
 698.8100	     36.4	    0.52
 698.8445	     39.4	    0.56
 698.8505	     19.8	    0.28
 698.8529	     26.6	    0.38
 698.8599	     18.1	    0.26
 698.8665	     24.5	    0.35
 698.8775	     12.2	    0.17
 698.8819	     13.6	    0.19
 698.8881	      9.6	    0.14
 698.8909	     21.5	    0.31
 698.9077	     13.0	    0.18
 698.9276	     18.8	    0.27
 698.9354	     13.1	    0.19
 699.0027	     24.3	    0.35
 699.0251	     42.7	    0.61
 699.0403	     14.4	    0.20
 699.0466	     58.4	    0.83
 699.0497	     16.5	    0.23
 699.0528	     25.2	    0.36
 699.0534	     26.1	    0.37
 699.0547	     25.6	    0.36
 699.0583	     24.1	    0.34
 699.0618	    113.0	    1.61
 699.0656	     56.2	    0.80
 699.0693	     17.3	    0.25
 699.0723	     92.1	    1.31
 699.0755	     36.0	    0.51
 699.0792	     21.7	    0.31
 699.0830	    114.5	    1.63
 699.0895	     66.5	    0.95
 699.0950	     46.4	    0.66
 699.0998	     55.3	    0.79
 699.1044	     31.8	    0.45
 699.1084	     43.4	    0.62
 699.1125	     16.0	    0.23
 699.1153	     15.0	    0.21
 699.1195	    112.4	    1.60
 699.1200	    113.2	    1.61
 699.1238	     24.1	    0.34
 699.1264	      6.5	    0.09
 699.1291	     15.8	    0.22
 699.1352	     32.4	    0.46
 699.1561	     42.7	    0.61
 699.2224	     21.3	    0.30
 699.2278	     20.5	    0.29
 699.2445	      8.3	    0.12
 699.2603	     25.7	    0.37
 699.2651	     14.0	    0.20
 699.2834	     21.4	    0.30
 699.2875	     12.9	    0.18
 699.3223	     29.5	    0.42
 699.3262	     12.9	    0.18
 699.3371	      9.7	    0.14
 699.3495	      6.2	    0.09
 699.3595	     30.8	    0.44
 699.3729	     17.0	    0.24
 699.3797	     22.7	    0.32
 699.3920	     22.9	    0.33
 699.3955	     22.8	    0.32
 699.4085	     14.5	    0.21
 699.4127	     10.3	    0.15
 699.4309	     10.1	    0.14
 699.4317	     10.6	    0.15
 699.4389	     13.4	    0.19
 699.4590	     21.8	    0.31
 699.4618	     13.0	    0.18
 699.4707	     18.5	    0.26
 699.4940	     29.0	    0.41
 699.5426	     14.6	    0.21
 699.5445	      9.7	    0.14
 699.5618	     18.1	    0.26
 699.5707	     42.2	    0.60
 699.5824	     27.5	    0.39
 699.5896	      8.9	    0.13
 699.5963	      9.9	    0.14
 699.5978	     13.8	    0.20
 699.6036	      8.3	    0.12
 699.6076	     25.6	    0.36
 699.6127	     25.6	    0.36
 699.6170	     13.8	    0.20
 699.6242	     16.5	    0.23
 699.6459	     27.4	    0.39
 699.6509	     25.7	    0.36
 699.6563	     42.7	    0.61
 699.6617	     26.4	    0.38
 699.7009	     16.5	    0.23
 699.7073	     37.2	    0.53
 699.7169	     25.0	    0.36
 699.7258	     22.2	    0.31
 699.7341	     21.4	    0.30
 699.7374	     25.5	    0.36
 699.7416	     12.7	    0.18
 699.7473	     13.4	    0.19
 699.7533	     18.8	    0.27
 699.7579	     38.2	    0.54
 699.7784	     26.5	    0.38
 699.7832	      6.0	    0.09
 699.7882	      6.7	    0.10
 699.7907	      8.0	    0.11
 699.7947	     18.6	    0.26
 699.8021	     35.0	    0.50
 699.8160	     18.6	    0.26
 699.8184	     21.2	    0.30
 699.8312	      6.1	    0.09
 699.8347	     29.1	    0.41
 699.8393	     16.1	    0.23
 699.8473	     21.6	    0.31
 699.8563	     24.6	    0.35
 699.8731	     35.2	    0.50
 699.8795	     12.5	    0.18
 699.8842	     14.6	    0.21
 699.8993	     25.8	    0.37
 699.9026	     10.9	    0.15
 699.9064	      6.3	    0.09
 699.9208	     24.5	    0.35
 699.9269	     20.3	    0.29
 699.9593	     61.7	    0.88
 699.9693	     16.1	    0.23
 700.0215	      6.5	    0.09
 700.0376	     19.3	    0.27
 700.0510	     19.4	    0.27
 700.0545	     16.8	    0.24
 700.0568	     44.1	    0.63
 700.0610	     15.8	    0.22
 700.0631	     23.3	    0.33
 700.0664	     29.7	    0.42
 700.0700	     27.6	    0.39
 700.0729	     35.3	    0.50
 700.0749	     42.6	    0.61
 700.0773	     41.7	    0.59
 700.0866	     68.6	    0.98
 700.0898	      7.3	    0.10
 700.0980	     38.9	    0.55
 700.1022	     19.8	    0.28
 700.1052	     22.0	    0.31
 700.1066	     20.4	    0.29
 700.1110	     35.6	    0.51
 700.1164	      9.7	    0.14
 700.1239	     34.9	    0.50
 700.1293	      7.3	    0.10
 700.1362	     23.9	    0.34
 700.1387	     25.5	    0.36
 700.1436	      9.9	    0.14
 700.1520	     22.1	    0.31
 700.1593	     13.5	    0.19
 700.1874	     12.7	    0.18
 700.2358	     13.2	    0.19
 700.2487	     14.3	    0.20
 700.2642	     21.1	    0.30
 700.2825	     20.5	    0.29
 700.2916	      8.4	    0.12
 700.2973	     12.9	    0.18
 700.3009	     42.5	    0.60
 700.3051	     64.0	    0.91
 700.3152	      9.7	    0.14
 700.3227	     13.8	    0.20
 700.3282	     11.9	    0.17
 700.3369	     11.5	    0.16
 700.3445	     12.6	    0.18
 700.3505	     14.9	    0.21
 700.3603	     14.2	    0.20
 700.3632	     12.7	    0.18
 700.3848	     13.1	    0.19
 700.4209	     11.3	    0.16
 700.4261	     13.7	    0.19
 700.4282	     19.1	    0.27
 700.4330	     30.5	    0.43
 700.4467	     12.1	    0.17
 700.4638	     29.4	    0.42
 700.4703	     22.3	    0.32
 700.4776	     10.4	    0.15
 700.4847	     29.2	    0.41
 700.4877	     39.7	    0.56
 700.5033	     22.6	    0.32
 700.5239	     36.4	    0.52
 700.5404	      7.9	    0.11
 700.5571	     13.8	    0.20
 700.5623	     24.8	    0.35
 700.5699	     14.8	    0.21
 700.5730	      9.0	    0.13
 700.5754	     15.7	    0.22
 700.5797	     35.7	    0.51
 700.5847	     41.3	    0.59
 700.5879	     15.7	    0.22
 700.6006	     41.7	    0.59
 700.6047	     37.7	    0.54
 700.6083	      9.2	    0.13
 700.6120	     25.4	    0.36
 700.6163	     29.0	    0.41
 700.6278	     17.6	    0.25
 700.6365	      9.2	    0.13
 700.6703	     24.2	    0.34
 700.6786	     41.2	    0.59
 700.6842	     24.1	    0.34
 700.6888	     20.4	    0.29
 700.7302	     27.4	    0.39
 700.7323	     54.9	    0.78
 700.7448	     14.4	    0.20
 700.7490	     17.8	    0.25
 700.7536	     17.3	    0.25
 700.7690	     28.2	    0.40
 700.7732	     18.8	    0.27
 700.7938	     13.7	    0.19
 700.8103	     15.1	    0.22
 700.8220	     12.8	    0.18
 700.8254	      8.8	    0.12
 700.8427	      9.5	    0.13
 700.8464	      9.8	    0.14
 700.8607	     18.0	    0.26
 700.8669	     22.6	    0.32
 700.8795	     12.7	    0.18
 700.8853	     26.3	    0.37
 700.8898	     26.9	    0.38
 700.9090	     25.2	    0.36
 700.9258	     13.7	    0.19
 700.9446	     18.8	    0.27
 700.9527	     47.3	    0.67
 701.0406	     75.0	    1.07
 701.0545	     40.3	    0.57
 701.0578	     33.1	    0.47
 701.0622	     50.8	    0.72
 701.0661	     18.6	    0.26
 701.0710	     10.3	    0.15
 701.0779	    238.3	    3.39
 701.0823	     40.1	    0.57
 701.0889	     47.3	    0.67
 701.0919	     26.9	    0.38
 701.0982	     64.6	    0.92
 701.1047	     26.4	    0.38
 701.1093	     22.9	    0.33
 701.1135	     87.3	    1.24
 701.1157	     70.9	    1.01
 701.1346	     57.1	    0.81
 701.1500	     34.2	    0.49
 701.1542	      8.3	    0.12
 701.1583	     15.4	    0.22
 701.1609	     12.9	    0.18
 701.1713	     42.6	    0.61
 701.1874	      8.9	    0.13
 701.2055	     16.2	    0.23
 701.2171	     11.2	    0.16
 701.2292	     12.6	    0.18
 701.2444	     15.4	    0.22
 701.2488	     26.5	    0.38
 701.2555	     16.0	    0.23
 701.2952	     18.4	    0.26
 701.3046	     25.9	    0.37
 701.3122	     14.7	    0.21
 701.3309	     19.4	    0.27
 701.3542	     11.2	    0.16
 701.3615	     25.7	    0.36
 701.3752	     43.8	    0.62
 701.3892	     38.2	    0.54
 701.4008	     18.8	    0.27
 701.4103	     12.9	    0.18
 701.4310	     26.9	    0.38
 701.4538	     23.9	    0.34
 701.4719	     17.2	    0.24
 701.4927	     23.4	    0.33
 701.5104	     20.0	    0.28
 701.5234	     37.4	    0.53
 701.5323	     21.3	    0.30
 701.5354	     12.4	    0.18
 701.5390	     14.1	    0.20
 701.5426	     21.6	    0.31
 701.5568	     48.3	    0.69
 701.5616	     19.0	    0.27
 701.5703	      9.5	    0.13
 701.5755	     15.9	    0.23
 701.5816	     12.5	    0.18
 701.5853	     24.1	    0.34
 701.5864	     24.2	    0.34
 701.5946	     12.0	    0.17
 701.6003	     17.5	    0.25
 701.6070	     33.8	    0.48
 701.6159	     34.5	    0.49
 701.6225	     14.2	    0.20
 701.6363	     14.2	    0.20
 701.6410	     16.0	    0.23
 701.6435	     22.5	    0.32
 701.6750	     17.7	    0.25
 701.6769	     25.5	    0.36
 701.6918	     15.3	    0.22
 701.7118	     20.1	    0.29
 701.7142	     19.5	    0.28
 701.7215	     12.2	    0.17
 701.7232	     23.9	    0.34
 701.7348	     17.4	    0.25
 701.7387	      8.4	    0.12
 701.7448	     26.4	    0.38
 701.7500	     28.8	    0.41
 701.7563	     15.3	    0.22
 701.7587	     17.7	    0.25
 701.7648	     27.2	    0.39
 701.7776	     14.9	    0.21
 701.7812	     38.7	    0.55
 701.7880	     11.9	    0.17
 701.7966	     26.6	    0.38
 701.8062	     16.2	    0.23
 701.8124	     36.2	    0.51
 701.8168	     17.4	    0.25
 701.8266	     16.2	    0.23
 701.8303	     49.4	    0.70
 701.8352	     13.4	    0.19
 701.8438	      7.1	    0.10
 701.8506	     46.2	    0.66
 701.8641	     17.6	    0.25
 701.8715	      6.6	    0.09
 701.8739	     18.1	    0.26
 701.8860	      8.6	    0.12
 701.9078	     19.2	    0.27
 701.9119	     44.0	    0.62
 701.9203	     11.9	    0.17
 701.9782	     24.8	    0.35
 701.9894	     13.0	    0.18
 702.0037	      8.9	    0.13
 702.0147	     14.4	    0.20
 702.0370	     19.3	    0.27
 702.0448	     20.6	    0.29
 702.0469	     12.9	    0.18
 702.0555	      7.8	    0.11
 702.0587	     26.7	    0.38
 702.0664	     17.9	    0.25
 702.0689	     26.3	    0.37
 702.0723	     23.5	    0.33
 702.0764	     60.0	    0.85
 702.0798	     42.4	    0.60
 702.0840	     41.1	    0.58
 702.0893	     15.0	    0.21
 702.0953	     43.8	    0.62
 702.0988	     34.5	    0.49
 702.1040	     44.6	    0.63
 702.1088	     27.8	    0.39
 702.1115	     15.2	    0.22
 702.1154	     30.6	    0.43
 702.1271	     16.1	    0.23
 702.1323	     15.0	    0.21
 702.1399	     14.5	    0.21
 702.1535	     31.7	    0.45
 702.1604	     11.5	    0.16
 702.1644	     25.7	    0.37
 702.1895	     12.3	    0.17
 702.2118	     15.2	    0.22
 702.2590	     21.9	    0.31
 702.2630	      8.1	    0.12
 702.2899	     30.1	    0.43
 702.2942	     31.9	    0.45
 702.3002	      9.4	    0.13
 702.3116	     19.3	    0.27
 702.3185	     14.8	    0.21
 702.3281	     25.8	    0.37
 702.3330	     19.6	    0.28
 702.3351	     12.7	    0.18
 702.3405	     24.9	    0.35
 702.3506	     26.6	    0.38
 702.3610	     12.4	    0.18
 702.3725	      9.6	    0.14
 702.3777	     22.7	    0.32
 702.4200	     42.3	    0.60
 702.4224	     21.9	    0.31
 702.4267	     49.7	    0.71
 702.4417	     16.2	    0.23
 702.4561	     14.0	    0.20
 702.4624	      8.8	    0.12
 702.4662	     16.3	    0.23
 702.4868	     13.8	    0.20
 702.4895	     23.0	    0.33
 702.5152	     19.2	    0.27
 702.5499	     24.4	    0.35
 702.5612	     25.2	    0.36
 702.5642	     31.7	    0.45
 702.5706	     42.2	    0.60
 702.5771	     10.7	    0.15
 702.5804	     27.5	    0.39
 702.5844	     14.8	    0.21
 702.5875	     16.4	    0.23
 702.5883	     15.6	    0.22
 702.5898	     19.9	    0.28
 702.5987	     25.9	    0.37
 702.6035	     21.4	    0.30
 702.6074	      9.5	    0.13
 702.6157	     20.8	    0.30
 702.6200	      7.8	    0.11
 702.6283	     19.3	    0.27
 702.6341	     18.6	    0.26
 702.6379	     13.4	    0.19
 702.6417	     20.8	    0.30
 702.6439	     13.6	    0.19
 702.6514	     43.2	    0.61
 702.6692	     47.2	    0.67
 702.6815	     30.8	    0.44
 702.6851	     38.4	    0.55
 702.6903	     13.1	    0.19
 702.7024	     13.3	    0.19
 702.7209	     14.2	    0.20
 702.7248	     27.5	    0.39
 702.7314	     25.5	    0.36
 702.7354	     21.7	    0.31
 702.7475	      7.0	    0.10
 702.7507	     29.6	    0.42
 702.7540	     13.8	    0.20
 702.7611	      8.4	    0.12
 702.7644	     13.4	    0.19
 702.7853	     21.9	    0.31
 702.7943	     22.9	    0.33
 702.7974	     24.5	    0.35
 702.8078	     22.3	    0.32
 702.8167	      9.5	    0.13
 702.8242	     21.9	    0.31
 702.8284	      9.0	    0.13
 702.8400	     27.1	    0.38
 702.8475	     11.7	    0.17
 702.8658	     17.6	    0.25
 702.8688	     20.5	    0.29
 702.8768	     33.0	    0.47
 702.8998	     19.3	    0.27
 702.9109	     41.4	    0.59
 702.9413	     28.8	    0.41
 702.9451	     12.5	    0.18
 702.9577	     30.6	    0.43
 702.9796	      6.7	    0.09
 703.0209	     50.5	    0.72
 703.0378	     11.0	    0.16
 703.0411	     32.0	    0.45
 703.0507	     22.9	    0.33
 703.0571	     68.4	    0.97
 703.0645	     22.1	    0.31
 703.0658	     25.4	    0.36
 703.0702	     13.3	    0.19
 703.0772	     85.1	    1.21
 703.0802	     15.3	    0.22
 703.0846	     79.0	    1.12
 703.0893	     19.1	    0.27
 703.0933	    158.2	    2.25
 703.0997	     15.0	    0.21
 703.1023	     23.5	    0.33
 703.1049	     55.2	    0.78
 703.1096	     22.0	    0.31
 703.1140	     39.7	    0.56
 703.1205	     29.8	    0.42
 703.1294	     64.0	    0.91
 703.1341	     32.3	    0.46
 703.1403	     31.3	    0.44
