Name,m/z,I,I %,Res.,S/N
FA-NaOD,654.56637,6969252,1.9,436281,4.4
FA-NaOD,654.57135,6557615,1.7,404048,4.0
FA-NaOD,654.57795,9351102,2.5,351231,6.8
FA-NaOD,654.5829200000001,6995913,1.9,354530,4.5
FA-NaOD,654.60747,6852097,1.8,144815,4.3
FA-NaOD,654.62087,8302623,2.2,366737,5.7
FA-NaOD,654.6639700000001,7660671,2.0,297129,5.1
FA-NaOD,654.6820299999999,8884392,2.4,211644,6.3
FA-NaOD,654.69323,7792833,2.1,269595,5.2
FA-NaOD,654.6976400000001,8421579,2.2,479326,5.9
FA-NaOD,654.70275,11204823,3.0,341756,8.6
FA-NaOD,654.70805,7208163,1.9,374283,4.7
FA-NaOD,654.72153,9467137,2.5,260093,6.9
FA-NaOD,654.7247,8556808,2.3,436757,6.0
FA-NaOD,654.73263,7401754,2.0,440345,4.9
FA-NaOD,654.73843,7943463,2.1,365662,5.4
FA-NaOD,654.74399,7073075,1.9,334695,4.5
FA-NaOD,654.7533900000001,8734024,2.3,216954,6.2
FA-NaOD,654.76185,9374043,2.5,167468,6.8
FA-NaOD,654.7687900000001,8154475,2.2,262308,5.6
FA-NaOD,654.7721799999999,11417970,3.0,403598,8.8
FA-NaOD,654.77723,7471486,2.0,251448,4.9
FA-NaOD,654.78184,7802249,2.1,226573,5.2
FA-NaOD,654.793,12161441,3.2,308366,9.5
FA-NaOD,654.79693,10239402,2.7,228826,7.6
FA-NaOD,654.80356,8320441,2.2,176724,5.8
FA-NaOD,654.80826,6537668,1.7,400453,4.0
FA-NaOD,654.82275,8213988,2.2,292428,5.6
FA-NaOD,654.83008,10795508,2.9,306177,8.2
FA-NaOD,654.83371,7324157,1.9,394740,4.8
FA-NaOD,654.84755,6931996,1.8,206134,4.4
FA-NaOD,654.8533,7172649,1.9,168974,4.6
FA-NaOD,654.85878,10623541,2.8,340259,8.0
FA-NaOD,654.8616,9536059,2.5,474577,6.9
FA-NaOD,654.8684900000001,8253003,2.2,269284,5.7
FA-NaOD,654.87753,10127967,2.7,262866,7.5
FA-NaOD,654.88457,11351663,3.0,199519,8.7
FA-NaOD,654.90057,7607955,2.0,302889,5.1
FA-NaOD,654.9132400000001,10586799,2.8,304421,8.0
FA-NaOD,654.93403,7215838,1.9,480663,4.7
FA-NaOD,654.95227,12036870,3.2,177405,9.4
FA-NaOD,654.9609,8684314,2.3,359864,6.1
FA-NaOD,655.0099,6667656,1.8,245347,4.1
FA-NaOD,655.02753,8883118,2.4,378751,6.3
FA-NaOD,655.0417,7814094,2.1,396823,5.3
FA-NaOD,655.05751,7801842,2.1,279326,5.2
FA-NaOD,655.06335,7228927,1.9,239963,4.7
FA-NaOD,655.07315,8234005,2.2,392184,5.7
FA-NaOD,655.08841,7650871,2.0,270300,5.1
FA-NaOD,655.0941,27395140,7.3,304633,24.5
FA-NaOD,655.10893,13081700,3.5,176259,10.4
FA-NaOD,655.11193,13296747,3.5,218508,10.6
FA-NaOD,655.1305,52278420,13.9,300082,48.8
FA-NaOD,655.1418,8210606,2.2,368462,5.6
FA-NaOD,655.1456900000001,15328438,4.1,273163,12.6
FA-NaOD,655.15125,11594947,3.1,342341,9.0
FA-NaOD,655.16075,7894232,2.1,333267,5.3
FA-NaOD,655.1669099999999,41202916,11.0,316190,38.0
FA-NaOD,655.17974,7011587,1.9,343301,4.5
FA-NaOD,655.18238,12295432,3.3,316322,9.6
FA-NaOD,655.1902,8740122,2.3,392550,6.2
FA-NaOD,655.1978,12682539,3.4,307551,10.0
FA-NaOD,655.20332,26064184,6.9,297007,23.1
FA-NaOD,655.21535,8437074,2.2,295907,5.9
FA-NaOD,655.22461,10876262,2.9,407347,8.3
FA-NaOD,655.2270900000001,8312172,2.2,285828,5.7
FA-NaOD,655.2366900000001,7461250,2.0,249792,4.9
FA-NaOD,655.23975,11611528,3.1,416882,9.0
FA-NaOD,655.2578900000001,8564145,2.3,378872,6.0
FA-NaOD,655.26058,7191991,1.9,482072,4.6
FA-NaOD,655.27624,10921433,2.9,378081,8.3
FA-NaOD,655.28685,8676849,2.3,327072,6.1
FA-NaOD,655.31213,8420906,2.2,383279,5.8
FA-NaOD,655.3470599999999,7029368,1.9,411123,4.5
FA-NaOD,655.3858,7169742,1.9,367432,4.6
FA-NaOD,655.45248,7204706,1.9,187275,4.7
FA-NaOD,655.64734,6895890,1.8,155387,4.4
FA-NaOD,655.84101,6965949,1.9,344385,4.4
FA-NaOD,655.85897,6849253,1.8,298907,4.3
FA-NaOD,656.03751,6583406,1.8,236511,4.0
FA-NaOD,656.10024,14152952,3.8,256389,11.5
FA-NaOD,656.10982,7111949,1.9,316769,4.6
FA-NaOD,656.11542,7758106,2.1,218782,5.2
FA-NaOD,656.11828,8338720,2.2,377886,5.8
FA-NaOD,656.12568,7298353,1.9,364146,4.7
FA-NaOD,656.13388,18961730,5.0,267563,16.2
FA-NaOD,656.1366,26905928,7.2,303384,24.0
FA-NaOD,656.15283,8583019,2.3,161856,6.0
FA-NaOD,656.16245,9448832,2.5,402448,6.9
FA-NaOD,656.16993,24042898,6.4,218077,21.2
FA-NaOD,656.17334,17673624,4.7,273927,14.9
FA-NaOD,656.18539,7942579,2.1,321519,5.4
