mass	z	intensity	Res.	
227.57354		574922	1183431	
227.66865		513687	1351250	
227.68161		491092	1350212	
227.68247		508294	1114380	
227.69505		498179	901805	
227.71121		512105	1166298	
227.72840		552822	1363923	
227.73902		571224	984091	
227.79097		544520	1145966	
227.81187		525555	1177781	
227.82203		570581	1223339	
227.82953		501059	1061190	
227.84099		489308	1267083	
227.85316		511660	1045404	
227.87165		526833	1409946	
227.87610		503623	1223667	
227.89037		520814	1084756	
227.89093		498330	1312417	
227.89693		498014	1631211	
227.93366		549011	1121697	
227.93670		562724	1382655	
227.95483		538428	813928	
227.97312		501965	1369944	
227.98978		42946388	1080819	
227.99147		525322	1716065	
227.99651		509173	828196	
227.99909		535124	940428	
228.00638		2861735	1157822	
228.01601		689129	1125205	
228.02458		1850311	1170861	
228.03020		708739	1520924	
228.03514		510886	1155151	
228.04276		563694	1126292	
228.05131		753548	1251370	
228.08675		509873	908661	
228.09580		947374	1315457	
228.11230		509031	1140934	
228.12409		493083	1187881	
228.12893		540988	1333895	
228.13046		538186	1116077	
228.13219		772288	1529227	
228.14277		567084	1386176	
228.15445		507941	1009236	
228.16046		820431	947917	
228.16626		536865	862466	
228.20496	1-	16996510	1049394	
228.32203		579242	1038274	
228.33460		505345	1267307	
228.36864		519382	1109112	
228.43826		491366	1002968	
228.45075		489237	871734	
228.45405		498492	876284	
228.49628		491511	1305272	
228.50402		972913	1095386	
228.50803		839945	1389053	
228.52219		914306	1372162	
228.52628		651438	1320100	
228.55994		541842	1211423	
228.58300		528417	1346790	
228.59727		597090	1521405	
228.59953		494190	1547212	
228.63058		497691	1342408	
228.72377		537032	956111	
228.76420		504272	1127257	
228.78624		551341	1279886	
228.78769		586631	1355514	
228.81996		510347	1008568	
228.82941		513694	1341390	
228.85843		490347	1197547	
228.91774		544169	1272090	
228.94512		591076	1715542	
228.94554		3927412	1109464	
228.95877		500963	1258626	
228.96113		530297	1587613	
228.98409		1525486	1145046	
228.99315		2920071	1151562	
228.99603		991743	1311928	
229.01394		891192	1597844	
229.01420		3560024	1126361	
229.01644		520328	953591	
229.02049		4682345	1104545	
229.03244		557819	1360679	
229.03534		974569	1250261	
229.03872		1780170	1233254	
229.04841		500338	1443752	
229.05057		781630	938417	
229.05349		623874	1080435	
229.05636		489054	1340393	
229.06452		591439	1211300	
229.06507		565747	1411596	
229.07172		4445772	1106557	
229.07485		945792	1213345	
229.08349		520953	838369	
229.08481		629436	974578	
229.08699		521704	1106867	
229.08929		491648	1208096	
229.09754		610337	1376725	
229.10811		4982542	1094665	
229.10883		557546	1582986	
229.14376		560260	1579871	
229.14448		8040944	1124267	
229.15729		526780	1078254	
229.17212		512957	1361407	
229.18088		2833586	1072323	
229.19593		533175	970073	
229.20832	1-	1463268	1029262	
229.20949		525238	1261994	
229.24499		568994	1312845	
229.24973		515142	1447335	
229.28609		552088	1481181	
229.32979		559663	1395568	
229.38379		491642	1296579	
229.39886		597311	1307043	
229.40150		543196	936095	
229.47355		512046	1194799	
229.47505		536192	941263	
229.47740		528474	1328237	
229.48330		512705	1267159	
229.50742		520222	1403130	
229.51183		1441479	1238024	
229.51586		1118343	1199261	
229.52888		492166	1044131	
229.52965		513798	1275513	
229.53004		585532	1715333	
229.53617		605232	1012765	
229.55999		514928	1258967	
229.67412		502098	1764699	
229.69011		541397	1200898	
229.72376		529763	1175852	
229.73707		489292	947627	
229.78010		518345	1224671	
229.86764		508698	874419	
229.89381		515293	1239908	
229.91931		546647	1201940	
229.92363		523983	1379397	
229.93208		549096	1264857	
229.93744		490724	1643972	
229.94747		504201	1435181	
229.98039		526726	1286255	
229.98707		705300	1092966	
229.99401		735401	1017866	
230.00384		4267914	1017637	
230.00410		529233	2642443	
230.00943		501646	1238981	
230.01174		504836	1223073	
230.01727		514330	1274901	
230.02202		2245867	953700	
230.02440		497203	941475	
230.03055		587741	1194945	
230.04027		641428	924841	
230.06698		644130	1235354	
230.07512		563987	1669247	
230.09125		504268	1019137	
230.10304		628537	1380870	
230.10332		690733	1331590	
230.11147		799785	1464623	
230.12472		524164	1302012	
230.14787		894448	1049540	
230.15876		500829	1076622	
230.18430		741615	1246951	
230.18691		584659	1147522	
230.27302		496570	1488804	
230.29253		493146	1096160	
230.29795		518796	1443128	
230.32169		519398	1498522	
230.32309		489958	1272431	
230.35971		543773	1134494	
230.40636		538939	853746	
230.42366		507188	936232	
230.42847		573855	1563275	
230.43223		501073	1073000	
230.44527		548558	1105798	
230.44902		500864	1512210	
230.45684		509257	1232122	
230.50552		732133	1360599	
230.51878		492516	1289989	
230.52373		583095	1366401	
230.58537		612936	1146525	
230.63893		501546	1220518	
230.64205		578088	755567	
230.64347		588093	1287506	
230.66273		553908	1138218	
230.67612		507222	1295789	
230.68332		511651	925987	
230.74371		494091	737082	
230.75797		583495	1020642	
230.79353		548142	1462952	
230.79798		509566	1490749	
230.80908		550167	1118840	
230.81098		519653	1166407	
230.82138		500404	1391437	
230.84288		516194	1324934	
230.88449		548878	1044989	
230.91953		506265	1455107	
230.94245		606249	960940	
230.95564		4670521	1132137	
230.99250		497206	1322960	
230.99347		1011668	1148674	
231.01085		519770	1741334	
231.01165		3075598	1087901	
231.01642		509314	1421206	
231.01731		798998	1298424	
231.01901		526523	1529978	
231.01930		936335	1314117	
231.02985		2138304	1112398	
231.03325		707872	915305	
231.03412		513500	1545221	
231.04802		520273	1183763	
231.05099		1528850	1106774	
231.05917		511804	1083887	
231.06842		557715	1198546	
231.07162		522307	1121293	
231.08410		639037	1119198	
231.08737		5229701	1110420	
231.12330		628512	2109895	
231.12375		9153960	1060281	
231.13496		728141	1255533	
231.14247		505392	1113835	
231.15969		512188	1909836	
231.16014		4766444	1133770	
231.25989		491066	1262471	
231.27235		507601	942051	
231.27270		583843	1511824	
231.29778		561365	1061082	
231.32201		672040	1163331	
231.36362		490578	773034	
231.41622		529785	914369	
231.44750		527890	986299	
