mass,intensity,C,O,H,N,assign,numbers,calculated_mass,abs_error,rel_error
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
243.014644,1.0,9.0,8.0,8.0,0.0,1.0,1.0,244.02192,4.2000000965991546e-07,0.0017282909488364638
243.029896,1.0,13.0,5.0,8.0,0.0,1.0,1.0,244.03717500000002,-2.580000011187522e-06,-0.010615977925561562
243.051018,1.0,10.0,7.0,12.0,0.0,1.0,1.0,244.058305,-1.0579999990989464e-05,-0.04352995547210366
243.051022,1.0,10.0,7.0,12.0,0.0,1.0,1.0,244.058305,-6.580000001088493e-06,-0.027072504970123076
,,,,,,,,,,
243.066277,1.0,14.0,4.0,12.0,0.0,1.0,1.0,244.07356,-6.5799999726667835e-06,-0.027070805764909885
243.087411,1.0,11.0,6.0,16.0,0.0,1.0,1.0,244.09469,-2.580000011187522e-06,-0.010613466162538224
243.087415,1.0,11.0,6.0,16.0,0.0,1.0,1.0,244.09469,1.4199999787134487e-06,0.005841519926950759
243.102665,1.0,15.0,3.0,16.0,0.0,1.0,1.0,244.109945,-3.580000008662765e-06,-0.014726288618278885
243.123799,1.0,12.0,5.0,20.0,0.0,1.0,1.0,244.131075,4.1999998123820603e-07,0.0017275148832229543
243.13905,1.0,16.0,2.0,20.0,0.0,1.0,1.0,244.14633,-3.580000008662765e-06,-0.014724084875147635
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
245.009157,1.0,12.0,6.0,6.0,0.0,1.0,1.0,246.01644000000002,-6.580000029510202e-06,-0.026856139215687365
245.00916,1.0,12.0,6.0,6.0,0.0,1.0,1.0,246.01644000000002,-3.580000008662765e-06,-0.014611698634707229
245.030292,1.0,9.0,8.0,10.0,0.0,1.0,1.0,246.03757,-1.57999998529057e-06,-0.006448182273278154
245.030298,1.0,9.0,8.0,10.0,0.0,1.0,1.0,246.03757,4.419999999560886e-06,0.01803858557753085
,,,,,,,,,,
245.045544,1.0,13.0,5.0,10.0,0.0,1.0,1.0,246.052825,-4.5800000061380075e-06,-0.018690403144559966
245.066675,1.0,10.0,7.0,14.0,0.0,1.0,1.0,246.073955,-3.580000008662765e-06,-0.014608269397145756
245.081924,1.0,14.0,4.0,14.0,0.0,1.0,1.0,246.08920999999998,-9.579999993514221e-06,-0.03908897007644767
245.118313,1.0,15.0,3.0,18.0,0.0,1.0,1.0,246.125595,-5.58000000361325e-06,-0.022764517001278687
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
246.988424,1.0,11.0,7.0,4.0,0.0,1.0,1.0,247.995705,-4.579999977716298e-06,-0.018543379092601918
247.024809,1.0,12.0,6.0,8.0,0.0,1.0,1.0,248.03209,-4.5800000061380075e-06,-0.018540647899612413
247.024812,1.0,12.0,6.0,8.0,0.0,1.0,1.0,248.03209,-1.5800000137122794e-06,-0.0063961186769865026
247.045933,1.0,9.0,8.0,12.0,0.0,1.0,1.0,248.05321999999998,-1.0579999990989464e-05,-0.04282604397696951
247.061187,1.0,13.0,5.0,12.0,0.0,1.0,1.0,248.068475,-1.1580000016886416e-05,-0.0468709802518937
